id,name,formula,origin,value_electron,value_proton,correction_ratio,note
CF1,Inter-shell pair count,"1 + C(n_shells, 2)",Pairwise coupling multiplicity,1,4,4.0,"Counts pairwise inter-shell couplings. Proton has 3 pairs, electron has 0."
CF2,Adjacency edge count,1 + (n_shells - 1),Closure graph edge count,1,3,3.0,Number of adjacent shell pairs plus 1.
CF3,Shell sum,sum(shells),Total closure depth,1,9,9.0,Sum of occupied shell indices.
CF4,Subclosure count,2^n_shells - 1,Number of non-trivial sub-closures,1,7,7.0,"All non-empty subsets of shell support. Proton has 7, electron has 1."
CF5,Product/sum ratio,prod(shells) / sum(shells),Multiplicative vs additive complexity,1.0,2.6666666666666665,2.6666666666666665,Ratio of multiplicative to additive shell complexity.
CF6,Cayley spanning tree count,"n_shells^(n_shells-2) for n>=2, else 1",Spanning tree multiplicity (Cayley's formula),1,3,3.0,Complete-graph spanning tree count. Exact integer.
CF7,Shell permutation count,n_shells!,Number of closure-path orderings,1,6,6.0,Permutations of shell traversal order.
CF8,Phi inter-shell coupling,phi^(n_shells - 1),Geometric weight per inter-shell link,1.0,2.618033988749895,2.618033988749895,"Each additional shell adds phi to the coupling. Exact, no fitted parameter."
CF9,Vandermonde discriminant,prod(|n_i - n_j| for i<j),Inter-shell separation product,1,2,2.0,Exact integer. Measures shell spread.
CF10,Shell index product,prod(shells),Total closure cycle multiplicity,1,24,24.0,"Product of all shell indices. Proton = 24, electron = 1."
