anaesthetic,class,delivery,MAC_or_EC50_atm_pct,oil_gas_partition,potency_inverse_MAC,tubulin_binding_kd_mM,gabaa_primary,notes,citation_key
halothane,volatile_haloalkane,inhaled,0.75,224,1.333,1.6,no,classical volatile; Eckenhoff photoaffinity on tubulin Kd~1.6 mM,Eger2001
isoflurane,volatile_ether,inhaled,1.15,91,0.870,2.5,no,common volatile; tubulin binding measured but weaker than halothane,Eger2001
sevoflurane,volatile_ether,inhaled,2.0,53,0.500,4.0,no,modern volatile; lower oil:gas; lower MT binding affinity than halothane,Eger2001
desflurane,volatile_ether,inhaled,6.0,19,0.167,8.0,no,lowest-potency clinical volatile; consistent with low oil:gas,Eger2001
enflurane,volatile_ether,inhaled,1.68,96,0.595,2.8,no,similar profile to isoflurane,Eger2001
methoxyflurane,volatile_ether,inhaled,0.16,970,6.250,0.6,no,highest oil:gas of clinical volatiles; deprecated due to nephrotoxicity,Eger2001
chloroform,historical_volatile,inhaled,0.50,400,2.000,1.0,no,historical anaesthetic; very high oil:gas; obeys Meyer-Overton sharply,FranksLieb1994
diethyl_ether,historical_volatile,inhaled,1.92,65,0.521,3.5,no,historical; clean Meyer-Overton point,FranksLieb1994
xenon,inert_gas,inhaled,71,1.9,0.014,30,no,NMDA antagonist; very low MT binding; Meyer-Overton outlier on low-end,FranksLieb1994
nitrous_oxide,inert_gas,inhaled,105,1.4,0.010,50,no,NMDA antagonist; weakest classical anaesthetic; MO outlier on low-end,FranksLieb1994
cyclopropane,historical_volatile,inhaled,9.2,11.5,0.109,15,no,historical; Meyer-Overton holds,FranksLieb1994
propofol,iv_phenol,iv,0.0001,1100,10000.000,10,yes,GABA-A primary; weak MT binding; potency tabulated as free EC50,Hemmings2005
etomidate,iv_imidazole,iv,0.00003,180,33333.333,50,yes,GABA-A primary; MT binding negligible,Hemmings2005
ketamine,iv_arylcyclohexylamine,iv,0.0001,52,10000.000,20,no,NMDA antagonist; intermediate MT binding; dissociative profile,Hemmings2005
