row_id,domain,claim,starting_constraints,v600_or_closure_role,assumed_or_selected,free_parameters,fixed_inputs,output,comparison_target,reproducibility_artefact,no_substrate_baseline,falsification_condition,claim_class,confidence_level,open_gap
1,Mathematics,A1 edge-adjacency operator on V600 has nine eigenvalues with multiplicities (1 4 9 16 25 36 9 16 4) summing to 120,600-cell adjacency graph fixed by Coxeter construction,Defines A1 spectrum,assumed (Coxeter construction),0,Coxeter group H4 data,Closed-form eigenvalues {12 6phi 4phi 3 0 -2 4-4phi -3 6-6phi} in Z[phi],Exact algebraic match to characteristic polynomial of A1,vfd-org/icosian-triad-v600 repro/sims/sim_09_a1_spectrum.py,Not applicable (theorem),"A 10th eigenvalue or any multiplicity mismatch",A,theorem-grade,none
2,Mathematics,Closure operator C_phi = L + phi^-2 I = (12+phi^-2) I - A1 induces 94 + 13 + 13 sigma-pairing on the 120 vertices,Definition of L and C_phi on V600,Defines C_phi and its sigma-equivariance,assumed,0,Galois action sigma : phi -> 1-phi,sigma-fixed subspace dimension 94 and two sigma-paired blocks of 13,Exact dimension count,vfd-org/icosian-triad-v600 repro/sims/sim_09_a1_spectrum.py,Not applicable (theorem),"Pairing not summing to 120 or not 94+13+13",A,theorem-grade,none
3,Mathematics,Schlaefli / right-coset decomposition of V600 = 2T cdot {g^k},Icosian binary tetrahedral subgroup 2T fixed,Defines partition into 5 cosets,assumed,0,Group-theoretic data,V600 = bigsqcup 2T g^k over five cosets,Exact partition into 120 vertices,vfd-org/icosian-triad-v600 paper-1 Theorem and sim_10,Not applicable (theorem),A non-coset structure or wrong index,A,theorem-grade,none
4,Mathematics,Every totally positive Z[phi]-prime is in the image of N_H,Icosian order I_max with norm form N_H,N_H is the universal representation form,assumed (Eichler-Hijikata),0,Eichler-Hijikata theorem,Universal representation by N_H,Match against Eichler-Hijikata classical theorem,vfd-org/icosian-triad-v600 sim_09 bounded witnesses,Not applicable (theorem import),"A totally positive Z[phi]-prime that is not in image of N_H",A,theorem-grade,none
5,Number theory,r(pi) = 8(1 + N_Q(pi)) for odd Z[phi]-primes pi and r(2) = 24 (Jacobi anomaly),Representation count on I_max,N_H as quaternary form,assumed,0,Z[phi]-prime ideals,Closed-form representation count,Direct enumeration over bounded primes,vfd-org/icosian-triad-v600 sim_09,Direct enumeration,"Any prime with a count not matching formula",A,theorem-grade,none
6,Number theory,L(Theta_I s) = zeta_K(s) zeta_K(s-1) C_2(s) where K = Q(sqrt 5) and C_2(s) = 1 - 2 cdot 2^-s + 2^(2-2s),Theta series of order I_max,Theta of order = product side,assumed (Eichler-Brandt + local-2 calculation),0,Eichler-Brandt; local-2 derivation,Exact L-function identity,Match against zeta_K factorisation,vfd-org/icosian-triad-v600 sim_13_l_function.py,Not applicable (theorem identity),"Any Dirichlet coefficient disagreement",A,theorem-grade,none
7,Mathematics,24-cell / 600-cell spectral bridge with E_4 multiplicity 25 corresponding to lambda_L = 12,Two regular polytopes and their adjacency,Identifies their Laplacian spectra,assumed,0,Coxeter / polytope adjacency,Spectrum identification with stated multiplicities,Match against direct spectrum computation,vfd-org/the-24-600-spectral-bridge,Direct computation,"Spectrum disagreement under direct computation",A,theorem-grade,none
8,Hadronic physics,r_p = 4 lambda-bar_p (proton charge radius),Cascade hadronic-rung identification,Sets length scale via rung-4 identification,selected (cascade structural derivation),0,CODATA lambda-bar_p,r_p prediction at 0.04 percent of CODATA r_p,CODATA 2022 proton radius,papers/proton-radius/,Generic 1-parameter length-scale fit,"CODATA r_p deviates from 4 lambda-bar_p by > 0.5 percent",B,strong,closure of H-RP across other hadronic radii
9,Hadronic physics,Neutron and pion radii from same length scale,Same cascade structure,Reuses substrate length scale,selected,0,CODATA radii,Predicted radii consistent within stated tolerance,CODATA 2022 radii,papers/paper-xviii/,Per-particle empirical fit,"Any radius deviates from substrate prediction by > 1 percent",B,strong,extending to heavy mesons and baryons
10,Hadronic physics,Deuteron coupling factor (6 + alpha),Cascade-mode count on rung-d structure,Counts modes,selected,0,fine-structure constant alpha,(6+alpha) deuteron coupling at 0.02 sigma,Measured deuteron coupling,papers/paper-xxxii/,Empirical 1-parameter coupling fit,"Coupling deviates from (6+alpha) at > 2 sigma",B,strong,independent rung-d derivation
11,Cosmology,Seven cosmological observables (Lambda H_0 Omega_Lambda etc.) within 0.5 percent of Planck 2018 inferred values,Hypersphere closure model,Closure dynamics fix the seven observables jointly,selected (hypersphere closure),0,4 input quantities,7 observables to < 0.5 percent of Planck 2018,Planck 2018 inferred values,vfd-org/hypersphere-cosmology,LambdaCDM (6-parameter fit) reaching same precision with more inputs,"Any of the seven observables deviates from Planck > 0.5 percent",B,strong,independent cosmological dataset reproduction
12,Atomic physics,alpha^-1 = 137 + pi/87 under six-hypothesis stack (clay-bar alpha-chain),Cascade clay-bar program,Provides pi/87 correction via cascade,selected (conditional on 6 hypotheses),0,six named hypotheses,alpha^-1 at per-mille agreement,CODATA 2022 alpha^-1,docs/algebraic-existence-and-complexity.md alpha-chain,Generic small-correction fit,"CODATA alpha^-1 disagrees with 137 + pi/87 at quoted precision",B,conditional,closure of 6 conditional hypotheses
13,Particle physics,13 particle masses from cascade rung selection (paper-xviii),Cascade rung structure,Selects 13 modes,selected,1,QCD scale,13 masses with stated agreement,Measured masses,papers/paper-xviii/,Per-particle mass fit (12 free parameters for 13 masses),"Any mass disagrees with substrate prediction at > 2 sigma",B,conditional,H-mass-selection closure
14,Cognition,Cortical phase under propofol: t = 7.11 on ds005620 sLORETA t = 9.72 (14/14 channels),Pre-specified analysis on OpenNeuro dataset,Closure-on-phase hypothesis predicts phase signature,assumed,0,pre-registered analysis,t = 7.11 ds005620 t = 9.72 sLORETA,Data,Solution Lab 002 release,Phase-shuffle null,"Test statistic falls below threshold under cross-cohort replication",C,strong,independent group replication
15,Cognition,Cross-cohort replication on ds004541: t = 5.25 (7/7 channels),Out-of-sample test of same closure prediction,Same closure hypothesis,assumed,0,ds004541 raw EEG,t = 5.25,Data,Solution Lab 002 release,Phase-shuffle null,"t < 2 on cross-cohort",C,strong,additional cohorts
16,Bioelectric,BETSE 6-condition planarian panel and five pre-registered wet-lab predictions,Bioelectric closure model,Closure on bioelectric substrate produces 5 predictions,assumed,0,5 pre-registered targets,Five named wet-lab predictions,Pre-registered targets,Solution Lab 001 release,Generic bioelectric model,"Any pre-registered wet-lab prediction fails on independent replication",C,conditional,wet-lab data not yet collected
17,Cognition (ARIA),18/18 preregistered hits after methodology refinement (17/18 before refinement),ARIA closure-kernel preregistered protocol,Closure kernel as algorithmic component,assumed,0,18 pre-registered tests,18/18,Pre-registered targets,vfd-org/aria,Random-guess baseline,"A new preregistered ARIA test fails",C,strong,independent group replication
18,Biology,Volatile inhaled anaesthetics Spearman rho = +0.94 (n = 11),Note G exploratory analysis,MT-substrate hypothesis predicts directional ranking,assumed,0,n=11 inhaled-agent ranking,rho = +0.94,Exploratory analysis,Solution Lab notes,No-substrate baseline (random ranking),"Replication on a new n >= 11 cohort gives rho < 0.5",C,weak,pre-registered replication
19,Ontology,X exists iff C(X) = X,Closure-as-existence interpretation,Closure as fixed-point identity,assumed (Class D),N/A,N/A,interpretive statement,N/A,docs/existence-as-closure.md,N/A,N/A (interpretation),D,interpretive,not assessed by audit
20,Ontology,Recurrence: substrate as cosmological-scale dynamic,Closure as recurrence,Substrate dynamics across cosmological time,assumed (Class D),N/A,N/A,interpretive statement,N/A,docs/closure-cosmogenesis.md,N/A,N/A (interpretation),D,interpretive,not assessed by audit
