domain,closure_mode,certificate,finitely_checkable,status
finite cycles / permutations,isometric,invariant inner product (Weyl average),yes,PROVEN
contractions / stable linear,dissipative,Lyapunov form B (discrete Lyapunov),yes,PROVEN
rotations / unitary,isometric,invariant inner product,yes,PROVEN
reversible Markov chains,self-adjoint,diag(stationary measure pi),yes,PROVEN
ergodic Markov chains,dissipative on mean-zero,spectral gap below 1,yes,PROVEN
Poincare (3-manifolds),dissipative,Perelman W-entropy monotonicity,yes,PROVEN (Perelman)
3n+1 one-cycles,n/a (Diophantine),cycle equation n(2^A-q^k)=sum,yes,PROVEN
Collatz (full),dissipative-on-average / mixed,no admissible infinite non-closing braid,no,OPEN
Riemann Hypothesis,positive form (self-adjoint),Weil positivity of explicit form,no,OPEN
Navier-Stokes (3D),dissipative vs critical,coercive high-frequency norm control,no,OPEN
Yang-Mills mass gap,positive form + gap,reflection positivity + spectral floor,no,OPEN
ARIA cognition,mixed,replay-stable self-consistency invariant,partial,ENGINEERING
