translation_id,dictionary_entry_id,grammar_verdict,bridge_hypothesis,interpretive_claim,audit_caveat,open_problems
T01,D01 D08,EXACT (G13 + G14),H-ModeUnique,V_600 carries a unique substrate mode-family across the tested (H lambda') pairs,Uniqueness is empirical-on-test-set; extension to all subgroups of 2I is open,Complete universality scan to all subgroups of 2I
T02,D07,EXACT (G13),H-Building,The five 24-cell cosets are candidate building blocks of any substrate-realised sector,Per the engine's deliberate conservatism this is a candidate identification not a derivation,Identify which physical sectors realise the 5-fold structure
T03,D08 D09,EXACT (G14),H-Spectrum,Lambda_12 lift channel + A_5 character split is a candidate substrate-realised mode-family with structural-vs-residual block decomposition,Bridge from spectral block decomposition to mode-family selection is open,Map A_5 character split onto a physical sector
T04,D11,CLOSED (G15 positive),H-Observable,Decorated state with all closure layers vanishing is a candidate stable observable,Not yet a physical derivation; closure does not imply realisability,Independent physical realisation
T05,D12,NEAR_CLOSED (G15 positive at small residual),H-Resonance,Near-closed state is a candidate resonance or transient bound state,May be an artefact of the chosen decoration - try alternative phase or boundary assignments before drawing conclusions,Pre-register a decoration-robust resonance protocol
T06,D13,BROKEN (G15 negative),none required (forbidden statement),A BROKEN state is not a candidate observable - the translation forbids it,The negative translation is empirical on the engine's admissibility threshold (max_residual_delta = 0.01),Test sensitivity of negative translations to threshold choice
T07,D03 D04,EXACT (G04 at lambda=12),H-Spectral-Family,The lambda=12 eigenspace of A_1 is a candidate spectral mode family,The mode-family identification depends on which physical sector is targeted,Map eigenspace onto specific sector
T08,D05,EXACT for math (G14 positive on C_phi eigenspaces),H-Existence,C_phi(X) = X is the substrate's formal realisation of the existence principle,The existence reading is Layer-3 (interpretive); the math is Layer-2 (theorem-grade),Independent operational test of the existence reading
T09,D06,EXACT (G14 positive on generated sectors),H-Generation,N_H generates the totally positive Z[phi]-primes from icosian quaternions; candidate substrate-side enumeration of primes,The classical math is theorem-grade; the substrate-as-generator framing is Layer-3,Identify generation operator with a physical creation operator
T10,D10,EXACT (Eichler-Brandt + C_2 derivation),no bridge for the factorisation identity itself; H-EulerBridge for any RH-direction interpretation,L-function of substrate theta factors through Riemann zeta as one Dedekind factor,No RH or GRH claim is made; the factorisation is one-way,Identify the local-2 correction C_2(s) with a substrate-level boundary effect
T11,D02,EXACT (G06 on C_0 = 2T),H-FundamentalSector,V_24 = 2T is a candidate fundamental sector of the substrate,The role of sigma-fixed sub-lattice as fundamental is interpretive,Test sector decomposition against physical sectors
T12,D14,Vector readout of grammar verdicts in min_aria,H-CognitiveSubstrate,Carrying the substrate's admissibility state as a 7-dim vector yields measurable identity stability under hostile prompts,The min_aria result is a computational existence proof of compositionality; not yet a claim about biological cognition,Replication on independent agents
T13,D04,EXACT (G04 for any selected eigenvalue),H-Selection,The substrate's selection of an eigenvalue corresponds to a candidate sector-selection rule,Sector-selection identification is a Layer-3 reading,Show selection rule survives perturbations of A_1
T14,D08 across all (H lambda'),G15 (negative scan),H-ScopeBoundary,The substrate cannot represent transformations at (H lambda') outside the admissible set within the tested scope,The negative scope is empirical and bounded by the test set,Make scope boundary explicit by exhaustive scan
