entry_id,substrate_object,mathematical_referent,candidate_physical_referent,candidate_cognitive_referent,layer,evidential_status,bridge_hypothesis,evidence_ledger_row
D01,V_600 = 2I (120 unit icosian quaternions),"vertex set of regular 600-cell; W(H_4) orbit under binary icosahedral group 2I",closure-substrate carrier,closure-substrate kernel,1,theorem-grade,none (Layer-1 only),1
D02,V_24 = 2T subset V_600 (24 sigma-fixed vertices),24-cell vertex set; sigma-fixed sub-lattice; binary tetrahedral subgroup,closure unit cell / fundamental sector,fundamental cognitive block,1,theorem-grade,none (Layer-1 only),3
D03,A_1 edge-adjacency operator on V_600,120x120 graph operator; defines L = 12 I - A_1,kinetic operator on substrate,attention kernel,2,theorem-grade,none,1
D04,9 eigenvalues of A_1 with multiplicities (1 4 9 16 25 36 9 16 4),"closed-form spectrum {12 6phi 4phi 3 0 -2 4-4phi -3 6-6phi} in Z[phi]",candidate spectral mode family,attention-eigenfunction family,2,theorem-grade,none,1
D05,Closure operator C_phi = L + phi^-2 I,positive self-adjoint operator with 94+13+13 sigma-pairing,closure verb operator,identity-stability operator,2,theorem-grade,H-ClosureOnto (interpretive only),2
D06,Generation operator N_H : I -> Z[phi],"quaternary norm form q_0^2 + q_1^2 + q_2^2 + q_3^2",candidate generator of representable states,generative kernel,2,theorem-grade,none,4
D07,Five 24-cell cosets C_0 ... C_4 = right cosets of 2T in 2I,partition of V_600 into 5 isomorphic 24-cells; A_5 acts on coset index,five building blocks of any substrate-realised sector,five cognitive partitions,2,theorem-grade,H-Building (Layer-3),3
D08,Lambda_12 lift channel (10-dim subspace of E_600(12)),"zero-extension of per-coset lambda=12 eigenvectors; orthogonal to 15-dim residual carrying nontrivial A_5 character","unique substrate mode-family across tested (H lambda') pairs",coherence channel,2,theorem-grade (positive); empirical-on-test-set (uniqueness),H-ModeUnique,(new)
D09,A_5 character decomposition of E_600(12) = 10-dim lift + 15-dim residual,representation-theoretic split of the lambda=12 eigenspace under coset A_5 action,syntactic block structure of substrate sectors,structural-vs-residual partition of cognitive state,2,theorem-grade,none,(new)
D10,Hilbert modular L-function L(Theta_I s) = zeta_K(s) zeta_K(s-1) C_2(s) for K = Q(sqrt 5),"factorisation identity with zeta_K(s) = zeta(s) L(s chi_5)",substrate-realised number-theoretic spectrum,N/A,2,theorem-grade,none for the identity; H-EulerBridge for any RH-direction interpretation,6
D11,AdmissibilityClass.CLOSED,decorated state with all closure layers vanishing within tolerance,stable observable candidate,stable cognitive state,3 (via engine),conditional,H-Observable,(new)
D12,AdmissibilityClass.NEAR_CLOSED,decorated state with small but nonzero residual,resonance / unstable bound-state candidate,transient cognitive state,3 (via engine),conditional,H-Resonance,(new)
D13,AdmissibilityClass.BROKEN,decorated state with closure lost,forbidden interpretation,inadmissible cognitive state,3 (via engine),conditional,none required (negative claim),(new)
D14,7-dim min_aria state vector [identity novelty memory residual perturbation governance replay],vector readout of admissibility-class transitions on the engine substrate,N/A,vector-state cognitive substrate carrier,3 (via min_aria),conditional,H-CognitiveSubstrate,(new)
